Tcode Name,Description
Abacus (Finite element multi-physics simulation) org,Finite element based multi-physics simulation software
ACE (Tax Accounting),"Tax Accounting Software
System ID: S7-18
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
AD LDAP (Active Directory Lightweight Directory Access Protocol) (Microsoft),"Microsoft Active Directory LDAP
System ID: SA-18
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
ADONIS (Design & Document) (BOC group),"Design & Document module: users with Creator access can modify and create diagrams and submit for review. Review requires Release & Control module access (Reviewer access).
ADONIS is a Business Process Management (BPM) tool, used for documentation, analysis, and optimization of business processes. It enables the visualization of process flows and standard operating procedures (SOPs), provides visibility into how they operate, and helps increase their efficiency by revealing redundant efforts and opportunities for improvement.
The ADONIS BPM suite is manufactured and marketed by BOC Group and represents their flagship Business Process Management product.
ADONIS is designed as a golden source of organizations' process data, and thus supports the end-to-end management and improvement of their business processes. It is an HTML 5 web-based application, fully BPMN 2.0 compliant, and conformant with various other international standards and best practices such as BPMN, DMN and ISO 9000."
ADONIS (Read & Explore) (BOC Group),"Read & Explore module: all ASM users can read processes and provide suggestions for improvement throught the Comment function.
ADONIS is a Business Process Management (BPM) tool, used for documentation, analysis, and optimization of business processes. It enables the visualization of process flows and standard operating procedures (SOPs), provides visibility into how they operate, and helps increase their efficiency by revealing redundant efforts and opportunities for improvement.
The ADONIS BPM suite is manufactured and marketed by BOC Group and represents their flagship Business Process Management product.
ADONIS is designed as a golden source of organizations' process data, and thus supports the end-to-end management and improvement of their business processes. It is an HTML 5 web-based application, fully BPMN 2.0 compliant, and conformant with various other international standards and best practices such as BPMN, DMN and ISO 9000."
ADONIS (Release & Control) (BOC Group),"Release & Control module, needed for methodical & process owner review. Requires Release & Control module access (Reviewer access).
ADONIS is a Business Process Management (BPM) tool, used for documentation, analysis, and optimization of business processes. It enables the visualization of process flows and standard operating procedures (SOPs), provides visibility into how they operate, and helps increase their efficiency by revealing redundant efforts and opportunities for improvement.
The ADONIS BPM suite is manufactured and marketed by BOC Group and represents their flagship Business Process Management product.
ADONIS is designed as a golden source of organizations' process data, and thus supports the end-to-end management and improvement of their business processes. It is an HTML 5 web-based application, fully BPMN 2.0 compliant, and conformant with various other international standards and best practices such as BPMN, DMN and ISO 9000."
Agiloft (Contract Lifecycle Management),"Contract Lifecycle Management Software
System ID: SA-14
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
Amex GBT: American Express Global Business Travel,
ANAPLAN (Finacial Planning & Analyses),"System ID: S7-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
ANAQUA (Intellectual Property),"Intellectual Property software
System ID: SA-15
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
Ansys (Finite Element Analysis),"Simulation Software
for Mechanical as well as Fluid, Gas behavior
System ID: S1-29
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
aPriori (Engineering Product Cost Estimation) org,"aPRIORI Product Cost application
System ID: S1-19
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
APT (MS PowerApp) (Microsoft),"Purchase Order APT
System ID: S3-02
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
