Business Process Name,Description,Process owner,Diagram URL
11.2.2 Manage Regulatory Compliance 1.00,"Manage Regulatory Compliance:
Monitor the regulatory environment for changing or emerging regulations
Monitor the regulatory environment for changing or emerging regulations
Monitor and test:regulatory compliance position and existing controls
Monitor and test regulatory compliance position and existing controls (EPI Export)
Monitor and test regulatory compliance position and existing controls (Blocked Sales Transactions)
Identify applicable regulatory requirements",Sales Operations BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=acfae4b8-d2ce-4956-8b7f-8d04d9488d9b&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
11.2.2.2 Identify applicable regulatory requirements 1.00,"1. Scope:
This procedure applies to all ASM operations.
2. Objective:
This procedure describes how ASM will identify, understand, and provide access to the laws, regulations, and permits that apply to the labor and ethics aspects of the organization, including:
· Identify existing relevant labor and ethics laws and regulations.
· Anticipate new relevant labor and ethics laws and regulations.
· Interpret relevant labor and ethics laws and regulations for application to ASM operations.
· Incorporate codes of practice and other voluntary requirements into operations.
· Provide access for reference to legal requirements, codes, and permits
Further, this procedure describes how ASM will evaluate compliance with relevant labor and ethics laws and regulations (herein referred to as legal compliance). Any labor and ethics aspects that are not strictly regulatory compliance are outside of the scope of this document and are captured in the RBA assessment and Business Processes related policies.",Legal BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=74232b09-2c23-4445-abc4-6cb6dc931415&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
11.2.2.3 R&C Monitor the regulatory environment for changing or emerging regulations 1.00,Monitor the regulatory environment for changing or emerging regulations,Sales Operations BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=91268b4f-bc27-4309-8fe7-291e5f5a079c&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
11.2.2.6A Monitor and test regulatory compliance position and existing controls 1.00,Monitor and test regulatory compliance position and existing controls,Sales Operations BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=2e0a46b3-9036-4a42-b178-c705e1c2fbc2&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
11.2.2.6B R&C Monitor and test regulatory compliance position and existing controls (EPI Export) 1.00,Monitor and test regulatory compliance position and existing controls (EPI Export),Sales Operations BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=6ffc82dc-0e19-4c9e-b65a-dde87f98098a&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
11.2.2.6C R&C Monitor and test regulatory compliance position and existing controls (Blocked Sales Transactions) 1.00,This flow captures the review of blocked transactions by GTC department initiating appropriate follow up actions to either unblock the transaction or keep on block,Sales Operations BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=8bc3eba9-bff4-45b7-8093-fa59b596bfc8&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
12.2.3.1 Evaluate the requirements for strategic requirements 1.00,"The Responsible Business Alliance (RBA) Self-Assessment Questionnaires (SAQ) are completed to satisfy customers’ and code conformance requirements and govern the mitigation and continuous improvement actions identified during the RBA SAQ risk assessment process.
The aim is timely completion of the risk assessment with implemented controls resulting in low-risk corporate and facility scores.",EHS BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=1ca52731-d22b-4b4e-95af-128793651f0e&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.1.1 Establish and maintain process management governance 1.00,Establish and maintain process management governance,Process Management BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=3c17e12b-390a-4a51-82e7-f3db245a994f&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.1.1.2 Establish and maintain process tools and templates 1.00,Internal maintenance process for Process Management to scan for and correct those things which can be administratively handled.,Process Management BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=d6f01fa0-f64d-4a71-ad3c-bd900d71ef8a&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.1.3 Define processes 1.00,"The objective of a process diagram is to support and maintain repeatable performance to the business goals set for the process. It contains a defined, globally harmonized (to the greatest extent possible), and approved business process diagram.
A process diagram will be available for each relevant process of the ASM Business Process Model and contains more detailed information than a Policy.
A process diagram defines the business process. It includes the intra- and interdepartmental workflow and prescribes specific actions and interactions (handshakes) and the key information systems utilized. It covers the individual roles (RACI) involved in the process. It includes the Risk and Controls, the IT application used, input and output documents, Business Intelligence & Analytics reports, and typically references to more detailed work instructions",Process Management BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=6fcc7dfb-8b2e-4f4f-8501-53d7dcc3a2b2&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.1.3.4 Model and document processes 1.00,"The objective of a process diagram is to support and maintain repeatable performance to the business goals set for the process. It contains a defined, globally harmonized (to the greatest extent possible), and approved business process diagram.
A process diagram will be available for each relevant process of the ASM Business Process Model and contains more detailed information than a Policy.
A process diagram defines the business process. It includes the intra- and interdepartmental workflow and prescribes specific actions and interactions (handshakes) and the key information systems utilized. It covers the individual roles (RACI) involved in the process. It includes the Risk and Controls, the IT application used, input and output documents, Business Intelligence & Analytics reports, and typically references to more detailed work instructions",Process Management BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=17c5f921-8c6a-4b27-8c2e-585183bddb00&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.3.3 Manage non-conformance 1.00,"The objective is
Maximize reduction of NC-related impact to ASM and its customers
Develop and maintain an effective closed loop system of incident management
Implement effective containment actions (NCRB goal to contain affected units/parts within 72 hours of NCRB receiving the NC)
Standardize Root Cause and Corrective And Preventative Action processes (RC / CAPA)
Develop and maintain NC database to support effective analytics and stakeholder updates
Engage, develop, and maintain Responsible, Accountable, Consulted, Informed (RACI) matrix with stakeholders
Effectively proliferate lessons learned throughout ASM
The scope of the NC Management process includes all equipment phases from Manufacturing to Post Warranty and all Product Life Cycle (PLC) phases from Alpha to End-of-Life (EOL). The NC Management process is used for all current and future Product Lines, Key Product Units (KPU), Global Operations (GOPS), and Global Sales, Service, and Support (GSSS), as well as our suppliers and Contract Manufacturers (CMs).",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=e0584dec-db39-43b0-b344-cb108c362ed1&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.3.3.1 -FS Assess potential impact (Field Services QN) 1.00,"The scope of this process diagram are the non-conformities which are detected during Field Service activities, like installation & qualification.
The start of a Field Service QN can be automatically after completion of a so-called Smart form, which is mandatory after closing of a non-conforming service order, or manual",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=5cf3738d-0bd7-4b1f-b1b0-0bff9e9113f6&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.3.3.1 -IC Assess potential impact (Incoming Quality QN) 1.00,The scope is to inspect all material which has been flagged for inspection and arrived at ASM. When a material is flagged for inspection it is forwarded to the Incoming Quality control.,Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=45bad982-dc69-49ff-ba9d-b14b0c21e627&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.3.3.1 -IM Assess potential impact (Improvement-Manual QN) 1.00,Everyone at ASM can submit a Quality Notification or a suggestion to improve the technical product documentation.,Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=b147f445-86cc-4c35-a826-a55899d39102&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.3.3.1 -SCR Assess potential impact (Supplier change request) 1.00,"The Supplier Change Request (SCR) process is to ensure ALL changes to the purchase part use are managed and comply to ASM’s requirement to build identical tools to our customers. This is needed to ensure compliance to ASM Copy Exactly Program. All products (to be) used in and/or for ASM equipment will have to remain identical unless changes have been approved by ASM through the SCR process. Therefore it is ASM policy to control all changes in design, technical product documentation and/or supply chain that can affect ASM equipment regarding:
· Safety/ergonomics;
· Performance;
· Reliability;
· Functionality;
· Quality;
· Cleanliness;
· Serviceability/maintainability;
· Configuration;
· Footprint;
· Software;
· Installation and facilities hook-up;
· Appearance; and
· Ability to interchange, substitute or replace spare parts, sub-assemblies and or software (including embedded controllers).
Changes can also occur by modifying:
· Raw materials or other resources used directly or indirectly in the equipment;
· Equipment and sub assembly manufacturing location, conditions or environment;
· Sequence of events (manufacturing, fabrication, assembly, test, packaging, printing); and
· Sub-suppliers.",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=4908b5ee-0fc7-4c30-8788-772f566f72cf&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.3.3.1 -SU Assess potential impact (Supplier QN) 2.00,"This diagram defines the control of supplier corrective actions to be taken on materials not conforming to ASM specifications or expectations.
The scope is to purchased parts, sub-contracted parts and sub-assemblies delivered by suppliers and sub-contractors.",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=2bc14d48-e2b4-4011-8183-f9f0ee59c6f5&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.3.3.1A -FA Assess potential impact (Failure Analysis QN Intake) 1.00,"Objectives
Failure analysis is the science and technique of understanding how materials and products fail. Whenever a component no longer performs its intended function, it is beneficial to understand how and why it has failed.
Analyzing failures is a critical process in determining the physical root causes of problems.
This procedure is applicable to any part, material, or assembly provided by a Supplier or designed and manufactured by ASM,",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=8f1b0853-9128-446f-a970-17e740354a3b&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
"13.3.3.1B -FA Assess potential impact (Failure Analysis QN, prioritize, logistics and assign owner)) 1.00","Objectives
Failure analysis is the science and technique of understanding how materials and products fail. Whenever a component no longer performs its intended function, it is beneficial to understand how and why it has failed. Analyzing failures is a critical process in determining the physical root causes of problems. Failure analysis is a critical part of understanding what went wrong, what could have been done to prevent the failure, and how one might prevent similar failures in the future. The main objectives of conducting failure analysis are as follows:
1. Accurately identifying the root cause(s) of the failure
2. Identify and execute effective containment, corrective, and preventive action plans to prevent future failures
3. Accurately identify a schedule of execution of containment, root cause(s) identification and validation, corrective, and preventive actions, and driving Performance Against Schedule
Scope
This procedure is applicable to any part, material, or assembly provided by a Supplier or designed and manufactured by ASM, up to and including a systemic failure within the context of our system-level product operating successfully in the customer’s use case and environment, for which failure analysis is requested by a Customer or ASM Field Service Engineer, Process Engineer, Key Product Unit (KPU), or other party.
The FA process includes:
· Requesting failure analysis
· Approving failure analysis cases
· Part movement
· Creating a failure analysis plan
· Performing failure analysis to the FA Plan, using Effective Problem Solving (EPS)
· Correctly identifying root cause(s)
· Identifying effective corrective and preventive actions and execution schedule
· Creating a failure analysis report
· Executing defined corrective and preventive actions
· Closing a failure analysis investigation",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=a7465a10-40d9-4854-97d5-665baa4565a5&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.3.3.1B -FS Assess potential impact (Field Services QN wrong part return) 1.00,"Key activities:
Investigate QN of type wrong part: Determine root cause and incident location
Determine availability of replacement and trigger shipping
Keep non-conformance submitter (FSE) informed",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=fe124995-33e6-41db-bf87-90a277dd9406&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
"13.3.3.1C -FA Assess potential impact (Failure Analysis QN, Performing FA) 1.00","Objectives
Failure analysis is the science and technique of understanding how materials and products fail. Whenever a component no longer performs its intended function, it is beneficial to understand how and why it has failed. Analyzing failures is a critical process in determining the physical root causes of problems. Failure analysis is a critical part of understanding what went wrong, what could have been done to prevent the failure, and how one might prevent similar failures in the future. The main objectives of conducting failure analysis are as follows:
1. Accurately identifying the root cause(s) of the failure
2. Identify and execute effective containment, corrective, and preventive action plans to prevent future failures
3. Accurately identify a schedule of execution of containment, root cause(s) identification and validation, corrective, and preventive actions, and driving Performance Against Schedule
Scope
This procedure is applicable to any part, material, or assembly provided by a Supplier or designed and manufactured by ASM, up to and including a systemic failure within the context of our system-level product operating successfully in the customer’s use case and environment, for which failure analysis is requested by a Customer or ASM Field Service Engineer, Process Engineer, Key Product Unit (KPU), or other party.
The FA process includes:
· Requesting failure analysis
· Approving failure analysis cases
· Part movement
· Creating a failure analysis plan
· Performing failure analysis to the FA Plan, using Effective Problem Solving (EPS)
· Correctly identifying root cause(s)
· Identifying effective corrective and preventive actions and execution schedule
· Creating a failure analysis report
· Executing defined corrective and preventive actions
· Closing a failure analysis investigation",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=85b7db76-9bb2-4a2a-97aa-158d38bc39ec&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.3.3.1D -MFG Assess potential impact (MFG QNs) 1.00,The scope of this process diagram are all non-conformities reported at manufacturing or at the Warehouse.,Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=48385812-e83a-4540-8911-ccdebeeec823&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.3.3.1E -MFG Assess potential impact (MFG QNs) 1.00,The scope of this process diagram are all non-conformities reported at manufacturing or at the Warehouse.,Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=0d86569e-b980-4493-9385-822fea17046f&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
"13.3.3.1E.1 SPDA (Non short ship-Type 1)GOPS 8200,3300,GSS 3118 Ariba supplier 1.00",,Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=1a43f0ff-dfa0-4130-bbda-9905c51b5c15&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
"13.3.3.1E.2 SPDA(Short Ship Deviation-Type 1)GOPS 8200,3300,GSS 3118 Ariba supplier 1.00","SPDA(Short Ship Deviation-Type 1)GOPS 8200,3300,GSS 3118 Ariba supplier",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=730a33a6-e96e-443d-9e00-b944805cf83b&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.3.3.1N Assess potential impact (Customer buy sell QN) 1.00,The objective of this diagram is to describe what an ASM supplier need to do when they find a non-conformance in material which ASM has delivered to them. These Quality Notifications will mainly be submitted by our Contract Manufacturers.,Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=06cbde8b-cfd3-45f8-bcb4-6b15d0e19260&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.3.3.3 Identify root cause(s) (8D Problem solving) 1.00,The objective of this diagram is to describe the process what need to be done when a decision is made to take a follow up action in the non-conformance/ quality notification process to investigate the cause of the non-conformance or to take simple corrective actions to prevent similar issues to happen again.,Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=61982602-a87f-484e-9df6-1757e96165e5&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.3.3.3.2C Material purge process 1.00,This process diagram describes the necessary actions across ASM to be taken when a purge of non-conforming material is required. This purge process is necessary to prevent incorrect materials from being used by Manufacturing or in the Field.,Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=9c1a552b-7040-4593-b0a7-107df021157c&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.3.3.3.2D QN use as is follow up 1.00,"The objective of this diagram is to decide what options there are when the material disposition is ""Use as is"".
This is a sub process, which occur in several process diagrams",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=58eb5190-de78-43b6-837b-5b96cf528b27&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.3.3.3.2F Scrap process 1.00,"The objective of this diagram is to describe the route of scrapping a material once this disposition is made.
This process occurs in several process diagrams as a sub process.",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=9da130df-5a16-4a9b-833a-20713b8bd39e&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.3.3.4 -QNF Take corrective or preventive actions (QN Material disposition follow up) 1.00,In several business processes it needs to be decided what to do with the material which has caused an issue. This process diagram routes to the several disposition options.,Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=8a2a6096-331b-4d8b-bd25-80aedce4975a&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.3.3.5 Close non-conformance 1.00,"The objective of this diagram is to describe the process of closing a Quality Notification (reported non-conformance).
This is applicable for all type of QNs and therefore it will appear in several process diagrams as a sub process.",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=a06ff5c9-a896-42d6-9cf2-4b242b318fab&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.3.3J Part exchange QN follow up 1.00,"The objective of this diagram is to explain what to do when a part exchange is needed.
This can be in case of a wrong or defective delivered part at Manufacturing or in the Field.",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=88d877ba-78b0-4d07-9294-33c7373ab60c&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.7.2 Develop and execute functional EHS program 1.00,"Develop and execute functional EHS program
Assess future risks and opportunities",EHS BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=a3e3c273-e0fd-4e68-b285-8e5971af8810&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.7.2.2 Assess future risks and opportunities 1.00,"The Responsible Business Alliance (RBA) Self-Assessment Questionnaires (SAQ) are completed to satisfy customers’ and code conformance requirements and govern the mitigation and continuous improvement actions identified during the RBA SAQ risk assessment process.
The aim is timely completion of the risk assessment with implemented controls resulting in low-risk corporate and facility scores.",EHS BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=1b80f9cc-00b9-451a-996b-fced132cad1c&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.8.1 Identify needs from stakeholders 1.00,"The objective of this diagram is to give an high level overview of the Business Intelligence & Analytics program.
This BIA program contains all Business Intelligence initiatives, S/4 Hanna Embedded Analytics; Power BI; etc.
It is for all ASM employees and for those who want to embark as an active BIA member in particular.",BIA/Data BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=3e2f4a09-b231-44ab-8fb5-59a89759d633&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.8.1.1A Provide BIA training (Intake + installation PBI software) 1.00,"Before we enroll someone for a BIA course there will be a short intake with the BIA Program Manager (Business Site). The candidate who is nominated to become a Power User or a Certified user can be admitted to follow a BIA and Power BI Training if:
He/she, their Manager, and BFO are aware of the responsibilities of a Power User/Certified User
Has agreed upon which Power BI report to develop during the ""boot camp"" period.
He/she is aware of the commitment needed to become a Power/Certified User, see above mentioned ""Training Criteria""
In case he/she will follow the online training modules a buddy will get assigned. This should be a trained person (PU/CU),",BIA/Data BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=175702c3-da4b-41c9-b8c3-b7475bdaa7ab&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.8.1.1B Provide BIA training (PBI training) 1.00,"It is important to be aware of the expectations before a new Power/Certified User will start the journey to becoming a Power User or Certified User of Power BI, which are explained:
Following online training modules, through the established training program (duration 1 week)
Creating a high-value Power BI App and having it published into Promoted or Certified PBI workspace (In general, this will take 2 weeks full time, right after the Power BI training, and another 2 weeks at ~ 50% of working time)
Satisfy the certification criteria:
Create a high-value Power BI App that successfully passes the BIA COEThis Power BI app creation must demonstrate the ability to independently use the content that has been taught during the training.
While building a Power BI report and having passed this report to the BIA COE, he/she needs to show a thorough understanding of BIA Governance and take the role and responsibility belonging to a Power/Certified User, see below.",BIA/Data BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=485578c4-5c70-412f-940b-9846e2b2cd6e&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
13.8.1.2 Provide BIA access 1.00,"The objective of this diagram is to explain how to get access to a BIA report.
We only give access on a need-to-know basis and therefore there is an approval flow embedded in this process.",BIA/Data BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=d46ff88b-65ea-4aa3-b435-b6e5eb941d22&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
