Task Name,Model Associated,Order,Description,Tcode Associated
Create Inspection lot,4.3.3.1 Calibrate Test Equipment (Internal) 1.00,3,,
Rectify errors noted,9.3.2.4 -YrEnd CarryFwd Process period end adjustments 1.00,4,To investigate why the carryforward balance does not reconcile between subledger (AP/AR/AA) and GL balances and rectify.,
Trigger scrap collection,4.4.3.5 -GSNIA Track Inventory Accuracy (Goods Scrap Notification Inventory Adjustment) 1.00,25,,
Abort any open approvals,"13.3.3.1E.2 SPDA(Short Ship Deviation-Type 1)GOPS 8200,3300,GSS 3118 Ariba supplier 1.00",14,,
Abort any open approvals,"13.3.3.1E.1 SPDA (Non short ship-Type 1)GOPS 8200,3300,GSS 3118 Ariba supplier 1.00",43,,
Acknowledge email,3.5.1.6 R&C Manage opportunity pipeline 1.00,10,,
Activate Equipment,6.3.4.1E Manage Equipment Master 1.00,3,"Key activities:
Manually Activate Equipment",Fiori IQ02: Change Material Serial Number (Application)
Activate QN,13.3.3.1 -FS Assess potential impact (Field Services QN) 1.00,29,,"Fiori QM03: Display Quality Notification (Application),
Fiori QM11: Display Quality Notifications - Worklist (Application)"
Activate/ Deactivate and Maintain spare part planning parameters in material,4.1.5.1 -SP Maintain Master data 2.00,43,Key action(s): Based on introduction or retirement Activate/ Deactivate and Maintain spare part planning parameters in material,"Fiori /SAPAPO/CURTO_SIMU: Display Production Data Structures for Production Planner - Advanced Planning (Application),
Fiori MM02: Change Material (Application)"
Add Cash Flow reporting rule,9.3.4.8A Perform legal and management consolidation (Preparatory Activity) 1.00,15,"Maintain Cash Flow Reporting rule Application
(FINCS_RRULE)",Fiori FINCS_RRULE: Define Reporting Rules (Application)
Add EPD workflow to include relevant stakeholders,13.3.3.1 -SCR Assess potential impact (Supplier change request) 1.00,14,Add EPD workflow to include relevant stakeholders who need to be consulted to give input for the suggested Supplier Change Request.,
Add Forecast BOM to Change Master,4.1.3.1 -FCST Create Unconstrained Plan 3.00,27,,Fiori CC02: Change Change Master (Application)
Add group structure,9.3.4.8A Perform legal and management consolidation (Preparatory Activity) 1.00,13,"Update or
create group structure in Manage Group Structure Application
(F3733)","Fiori F2918: Supplier Evaluation Weighting and Scoring for Strategic Buyer (Application),
Fiori F3733: Manage Consolidation Group Structure - Group View for Administrator - Group Reporting (Application)"
Add master data,9.3.4.8A Perform legal and management consolidation (Preparatory Activity) 1.00,14,"Define Master Data for Consolidation Fields Application
(F3007)",Fiori F3007: Define Master Data for Consolidation Fields for Administrator - Group Reporting (Application)
Add more information in QN,13.3.3.1 -IM Assess potential impact (Improvement-Manual QN) 1.00,7,,"Fiori QM02: Change Quality Notification for Quality Engineer (Application),
Fiori QM03: Display Quality Notification (Application)"
Add more information in QN,13.3.3.1D -MFG Assess potential impact (MFG QNs) 1.00,7,,Fiori QM03: Display Quality Notification (Application)
Add more information in QN,13.3.3.1E -MFG Assess potential impact (MFG QNs) 1.00,19,,
Add new Catalog,4.1.8.1G Catalogs - Code group 1.00,4,Add new Catalog,Fiori QS41: Edit Code Groups (Application)
Add new FS Items,9.3.4.8A Perform legal and management consolidation (Preparatory Activity) 1.00,8,Update or create new FS Items in Define FS Items Application(F3297),Fiori F3297: Define Financial Statement Items for Administrator - Group Reporting (Application)
Add new GR Legal Entity,9.3.4.8A Perform legal and management consolidation (Preparatory Activity) 1.00,12,"Update or create new GR Legal Entity in Define Consolidation Units Application
(F4685)",Fiori F4685: Define Consolidation Units for Administrator - Group Reporting (Application)
Add New Materials to Change Master,4.1.3.1 -FCST Create Unconstrained Plan 3.00,38,,Fiori CC02: Change Change Master (Application)
Add new TBD Slots with all details,4.1.2.1 -EQ-TBD Develop baseline demand forecast - Demand Adjustment 1.00,16,,
Add operations task list,4.1.8.2D Create Equipment Task List 2.00,5,"In the operations tab, define the tasks that need to be performed during the calibration. Each operation can include details like work center, control key, and duration.
Work center will be populated, Operation description to be added as it will be displayed in Purchase requisition/purchase order.
Based on Control key code, the Calibration process is identified as External or Internal. Control key PM02 is used for external calibration. PM01 for Internal .
Upon adding the Control key as PM02, External activity data and Procurement Options fields become mandatory.
External Activity Data:
Order Qty 1 Order qty Unit : EA
Net Price: <XYZ> Currency :SGD
Planned Deliv. Time : 1 days
Cost element : 470500
Material Group :B-OP-EX04
Procurement Options:
Maintenance plant / Purchase Organization : Purchasing Group:
Plant 8200/ Purch Org 8000: H06 Christal KuPlant 3300/ Purch Org 3300: K02 Han DongwonPlant 2000/ Purch Org2000 : E02 Maltie Starkej",Fiori IA01: Create Equipment Task List (Application)
Add participants Supplier level 1 and supplier level 2 approvers,13.3.3.1 -SCR Assess potential impact (Supplier change request) 1.00,13,"There are always two approval levels:
Level 1 by Supplier Manager and
Level 2 by Supplier Quality Engineer or the Subject Matter Expert",SAP EPD: Enterprise Product Development (Application)
"Add Payment Block ""B""",9.6.1.8 -PAY BATCH Process payments (Automatic Payment Run – Batch Job) 1.00,17,,Fiori FB02: Change Document (Application)
Add QN information (problem description),13.3.3.1 -FS Assess potential impact (Field Services QN) 1.00,6,,"Fiori F0312: Quality Notification for Quality Engineer (Application),
Fiori QM02: Change Quality Notification for Quality Engineer (Application)"
Add requester to Active Directory list,13.8.1.2 Provide BIA access 1.00,7,"Access to BIA reports is controlled via Active Directory lists, linked to the BIA report.
The name of the requester will be added to the AD list which is connected to the BIA report",
Add RTS component (Return To Stock),4.3.2.1 Manage raw material inventory (Material Movements from Mfg Floor) 2.00,27,Maintaining components to be received into stock as minus quantity including Appropriate movement Type (262 or 531),Fiori CO02: Change Production Order for Production Supervisor - Discrete Manufacturing (Application)
Add SCR Details,13.3.3.1 -SCR Assess potential impact (Supplier change request) 1.00,12,"Tasks
SCR Submission
SCR Review
SCR Clarification SCR Evaluation
Process Input
Change Notification Letter
Specification and/or datasheet for new part
Technical comparison table for old and new part.
Test data for old and new part if applicable
Cost comparison info if there is pricing change
Cost increase justification if new part is more expensive
Process Output
Change Notification Letter
Specification and/or datasheet for new part
Technical comparison table for old and new part Test data for old and new part if applicable
Cost comparison info if there is pricing change
Cost increase justification if new part is more expensive",SAP EPD: Enterprise Product Development (Application)
Add to Cost Center hierarchies,9.1.3.1 -CC Determine key cost drivers (Maintain Cost Center) 1.00,15,Cost center will be added to the cost center hierarchies according to the request form.,Fiori KSH2: Manage Cost Center Groups for Cost Accountant - Overhead (Application)
Add/remove object to production order,4.3.2.5B Monitor and optimize production process (Modify Prod Ord confirmation) 2.00,15,,
Add/Update tasks in FCC Closing Template,9.3.1.5 Establish common financial systems (FCC) 1.00,25,Add/Update tasks in FCC Closing Template,S/4HANA - FCC (Financial Closing Cockpit) (SAP) (Application)
Adjust demand forecast manual,4.1.3.1 -SP Create Unconstrained Plan 2.00,19,,"Fiori /SAPAPO/SPPFCST: Manage Forecast for Demand Planner - Service Parts (Application),
SAP /SAPAPO/SPPDMDH: SPP Demand History (Application)"
Adjust FG provision after discussion,9.1.2.1 -QTR FG Perform inventory accounting (Quarterly FG Listing) 1.00,9,SU1 Business Analyst to adjust FG provision after discussion with Business Control Director and Controller,
Adjust Outstanding quantity to 0,5.3.3.5 -CO/PS Complete Service Order ZMCO/ ZMPS incl SSD: fld. Change Order/ Prod. Sup. 1.00,10,"Key Activites:
FSE to adjust outstanding quantity(either by return remaining parts to warehouse or consume remaining quantities) to 0",SAP FSM: Field Service Management (Application)
Adjust Outstanding quantity to 0,5.3.3.5 -IQ Complete Service Order ZMIQ: Install & Qualification 1.00,7,"Key Activites:
FSE to adjust outstanding quantity(either by return remaining parts to warehouse or consume remaining quantities) to 0",SAP FSM: Field Service Management (Application)
Adjust Outstanding quantity to 0,"5.3.3.5 -RP Complete Service Order ZMRP: Maintenance, RePair 1.00",28,"Key Activites:
FSE to adjust outstanding quantity(either by return remaining parts to warehouse or consume remaining quantities) to 0",SAP FSM: Field Service Management (Application)
Adjust Outstanding quantity to 0,5.3.3.5 -KM Complete Service Order ZMKM: complete Kit Management 2.00,8,"Key Activites:
FSE to adjust outstanding quantity(either by return remaining parts to warehouse or consume remaining quantities) to 0",SAP FSM: Field Service Management (Application)
